anio,P,T_obs,T_model,S_model,R_model,error_abs,error_rel,error_rel_pct
2010,2512417.0,4387.0,6106.045637774853,2503257.9315433376,3053.0228188874266,1719.0456377748533,0.3918499288294628,39.184992882946275
2011,2526501.0,5829.0,5561.534514002021,2516299.640086691,1489.2890217467602,-267.46548599797916,-0.04588531240315306,-4.588531240315306
2012,2576943.0,4849.0,5071.951052231484,2528594.7880956894,881.744107367267,222.95105223148403,0.04597876927850774,4.597876927850774
2013,2630547.0,6243.0,4631.780957490195,2540941.7172547197,628.6184217536147,-1611.2190425098051,-0.2580841009946829,-25.808410099468286
2014,2616037.0,4864.0,4236.073513746266,2553248.8986385637,509.2450445876359,-627.9264862537339,-0.12909672825940252,-12.909672825940252
2015,2647430.0,5680.0,3880.367599318125,2565468.701646511,441.8522522086694,-1799.632400681875,-0.3168366902608935,-31.68366902608935
2016,2727896.0,7484.0,3560.6564174975297,2578124.3364573983,396.03498176700646,-3923.3435825024703,-0.5242308367854717,-52.423083678547165
2017,2738569.0,8389.0,3273.344569002877,2591119.6374105564,359.98580087134263,-5115.655430997123,-0.6098051532956399,-60.980515329563985
2018,2737413.0,8255.0,3015.1873859430193,2604068.197493541,329.7528639848174,-5239.81261405698,-0.6347441083049037,-63.47441083049037
2019,2798430.0,8562.0,2783.262253008724,2617185.17705738,303.22448252398885,-5778.737746991275,-0.6749284918233212,-67.49284918233212
2020,2803676.0,8803.0,2574.9468392205995,2630559.8339464515,279.7734192594699,-6228.0531607794,-0.7074921232283767,-70.74921232283768
